,Date,Year,Month,Global Temperature Anomaly,Nino 1+2 SST,Nino 1+2 SST Anomaly,Nino 3 SST,Nino 3 SST Anomaly,Nino 3.4 SST,Nino 3.4 SST Anomaly,Nino 4 SST,Nino 4 SST Anomaly,   TNI,SOI,  OLR,   PNA, NOI,ENSO Precipitation Index,BEST,Season (2-Month),MEI.ext,MEI.v2,Season (3-Month),  ONI,RONI,Season (12-Month),ENSO Phase-Intensity
74,3/1/1956,1956,MAR,-0.21,25.73,-0.75,26.67,-0.54,26.46,-0.83,27.22,-1.10,0.977,2.2,,-0.97,5.191,,-0.93,FM,-1.532,,FMA,-0.63,-0.10,1956-1957,WL
75,4/1/1956,1956,APR,-0.28,24.39,-1.15,26.92,-0.66,26.85,-0.97,27.53,-1.10,0.992,1.5,,-0.17,0.577,,-0.97,MA,-1.329,,MAM,-0.54,-0.19,1956-1957,WL
76,5/1/1956,1956,MAY,-0.29,23.21,-1.21,26.49,-0.76,27.13,-0.80,28.00,-0.91,0.982,2.3,,-0.17,1.273,,-1.06,AM,-1.366,,AMJ,-0.52,0.12,1956-1957,WL
77,6/1/1956,1956,JUN,-0.15,22.19,-0.94,25.77,-0.85,26.81,-0.92,28.18,-0.79,0.723,1.8,,-0.08,2.335,,-1.13,MJ,-1.538,,MJJ,-0.51,-0.08,1956-1957,WL
78,7/1/1956,1956,JUL,-0.09,21.82,-0.14,24.78,-1.03,26.23,-1.06,27.86,-1.04,0.707,1.8,,-1.28,2.644,,-1.16,JJ,-1.371,,JJA,-0.57,-0.29,1956-1957,WL
79,8/1/1956,1956,AUG,-0.26,20.57,-0.43,24.06,-1.06,25.68,-1.17,27.33,-1.46,0.766,2.0,,-0.23,3.112,,-1.05,JA,-0.898,,JAS,-0.55,-0.47,1956-1957,WL
80,9/1/1956,1956,SEP,-0.19,19.72,-1.01,23.88,-1.03,25.73,-0.98,27.34,-1.42,0.660,0.1,,0.42,0.005,,-0.55,AS,-0.754,,ASO,-0.46,-0.22,1956-1957,WL
81,10/1/1956,1956,OCT,-0.23,19.82,-1.19,23.91,-1.07,25.75,-0.97,27.64,-1.12,0.341,2.9,,-2.16,3.177,,-1.22,SO,-0.950,,SON,-0.42,-0.24,1956-1957,WL
82,11/1/1956,1956,NOV,-0.15,20.59,-1.06,23.77,-1.33,25.56,-1.14,27.89,-0.81,-0.035,0.2,,1.00,5.012,,-0.54,ON,-1.076,,OND,-0.43,-0.53,1956-1957,WL
83,12/1/1956,1956,DEC,-0.07,21.49,-1.32,24.02,-1.21,25.71,-0.89,27.89,-0.65,-0.111,1.8,,-0.61,6.564,,-0.60,ND,-0.947,,NDJ,-0.43,-0.33,1956-1957,WL
84,1/1/1957,1957,JAN,-0.09,22.90,-1.66,24.94,-0.72,26.04,-0.51,27.71,-0.61,0.090,1.0,,-2.18,0.984,,-0.38,DJ,-0.736,,DJF,-0.25,0.11,1957-1958,SE
85,2/1/1957,1957,FEB,-0.03,26.17,0.07,26.20,-0.20,26.54,-0.22,27.72,-0.47,0.261,-0.1,,-1.89,-3.795,,0.03,JF,-0.387,,JFM,0.06,0.36,1957-1958,SE
86,3/1/1957,1957,MAR,-0.05,27.27,0.78,27.47,0.26,27.46,0.18,27.87,-0.45,0.651,0.3,,0.78,-0.273,,0.27,FM,0.049,,FMA,0.41,0.76,1957-1958,SE
87,4/1/1957,1957,APR,0.00,26.66,1.13,27.86,0.28,28.23,0.41,28.57,-0.06,1.410,0.4,,-0.41,-0.869,,0.44,MA,0.410,,MAM,0.72,1.07,1957-1958,SE
88,5/1/1957,1957,MAY,0.09,26.82,2.40,27.79,0.53,28.55,0.62,28.93,0.01,1.734,-1.1,,1.24,-4.281,,1.09,AM,0.792,,AMJ,0.92,1.09,1957-1958,SE
89,6/1/1957,1957,JUN,0.15,25.14,2.01,27.31,0.69,28.36,0.63,28.59,-0.38,1.620,0.3,,0.24,-0.776,,0.67,MJ,1.371,,MJJ,1.11,1.13,1957-1958,SE
